0,1,189,555,266
1,1,192,568,266
2,5,195,665,278
3,9,194,697,278
4,58,199,720,296
5,80,202,725,296
6,91,202,740,296
7,106,205,749,299
8,122,205,763,313
9,140,207,775,305
10,153,207,794,317
11,185,208,816,332
12,189,206,840,327
13,202,211,850,333
14,203,203,874,340
15,225,207,874,340
16,228,209,886,350
17,223,210,906,350
18,215,206,939,352
19,217,202,939,352
20,203,207,959,357
21,199,209,967,362
22,187,212,974,354
23,180,208,982,354
24,161,209,998,349
25,146,209,998,349
26,134,209,1014,348
27,119,208,1019,348
28,102,210,1019,348
29,96,209,1019,348
30,76,206,1030,345
31,67,208,1030,341
32,57,213,1007,341
33,46,217,1007,341
34,43,212,1007,346
35,36,215,1007,346
36,44,218,1007,346
37,48,222,989,346
38,64,229,969,346
39,74,230,954,344
40,86,232,942,344
41,94,229,934,344
42,108,231,922,344
43,128,229,903,343
44,145,230,883,339
45,160,228,870,331
46,196,233,835,324
47,210,235,829,318
48,225,233,814,318
49,242,236,796,309
50,252,234,796,309
51,270,241,779,294
52,318,242,739,294
53,328,241,730,294
54,341,245,725,282
55,362,252,704,275
56,376,254,697,275
57,391,250,688,275
58,413,252,674,267
59,428,252,670,271
60,466,248,651,262
